id,date,effectiveDate,resolutionDate,typeCode,typeDesc,description,person.id,person.fullName,person.link,toTeam.id,toTeam.name,toTeam.link,fromTeam.id,fromTeam.name,fromTeam.link
461727,2021-02-05,2021-02-05,2021-02-05,SFA,Signed as Free Agent,Seattle Mariners signed free agent RHP Aneury Lora to a minor league contract.,699699.0,Aneury Lora,/api/v1/people/699699,136,Seattle Mariners,/api/v1/teams/136,,,
461726,2021-02-05,2021-02-05,2021-02-05,SFA,Signed as Free Agent,Seattle Mariners signed free agent SS Ricardo Cova to a minor league contract.,699698.0,Ricardo Cova,/api/v1/people/699698,136,Seattle Mariners,/api/v1/teams/136,,,
461725,2021-02-05,2021-02-05,2021-02-05,SFA,Signed as Free Agent,Seattle Mariners signed free agent RHP Roiber Talavera to a minor league contract.,699696.0,Roiber Talavera,/api/v1/people/699696,136,Seattle Mariners,/api/v1/teams/136,,,
461717,2021-02-05,2021-02-05,2021-02-05,SFA,Signed as Free Agent,Seattle Mariners signed free agent LHP Juan Pinto to a minor league contract.,699697.0,Juan Pinto,/api/v1/people/699697,136,Seattle Mariners,/api/v1/teams/136,,,
461701,2021-02-05,2021-02-05,2021-02-05,SFA,Signed as Free Agent,Seattle Mariners signed free agent SS Bryant Mendez to a minor league contract.,698915.0,Bryant Mendez,/api/v1/people/698915,136,Seattle Mariners,/api/v1/teams/136,,,
461718,2021-02-05,2021-02-05,2021-02-05,SFA,Signed as Free Agent,Seattle Mariners signed free agent OF Luis Bolivar to a minor league contract.,699700.0,Luis Bolivar,/api/v1/people/699700,136,Seattle Mariners,/api/v1/teams/136,,,
461967,2021-02-05,2021-02-05,2021-02-05,SFA,Signed as Free Agent,Seattle Mariners signed free agent OF Gabriel Gonzalez to a minor league contract.,694224.0,Gabriel Gonzalez,/api/v1/people/694224,136,Seattle Mariners,/api/v1/teams/136,,,
461716,2021-02-05,2021-02-05,2021-02-05,SFA,Signed as Free Agent,Seattle Mariners signed free agent RHP Gleiner Diaz to a minor league contract.,699695.0,Gleiner Diaz,/api/v1/people/699695,136,Seattle Mariners,/api/v1/teams/136,,,
469762,2021-02-09,2021-02-09,2021-02-09,SFA,Signed as Free Agent,Seattle Mariners signed free agent RHP Taylor Guerrieri to a minor league contract and invited him to spring training.,605260.0,Taylor Guerrieri,/api/v1/people/605260,136,Seattle Mariners,/api/v1/teams/136,,,
469763,2021-02-09,2021-02-09,2021-02-09,SFA,Signed as Free Agent,Seattle Mariners signed free agent RHP JT Chargois to a minor league contract and invited him to spring training.,608638.0,JT Chargois,/api/v1/people/608638,136,Seattle Mariners,/api/v1/teams/136,,,
474656,2021-02-09,2021-02-09,2021-02-09,SFA,Signed as Free Agent,Seattle Mariners signed free agent P JT Chargois.,608638.0,JT Chargois,/api/v1/people/608638,136,Seattle Mariners,/api/v1/teams/136,,,
474651,2021-02-09,2021-02-09,2021-02-09,SFA,Signed as Free Agent,Seattle Mariners signed free agent P Taylor Guerrieri.,605260.0,Taylor Guerrieri,/api/v1/people/605260,136,Seattle Mariners,/api/v1/teams/136,,,
462117,2021-02-09,2021-02-09,2021-02-09,SFA,Signed as Free Agent,Seattle Mariners signed free agent RHP Taylor Guerrieri to a minor league contract and invited him to spring training.,605260.0,Taylor Guerrieri,/api/v1/people/605260,136,Seattle Mariners,/api/v1/teams/136,,,
462105,2021-02-09,2021-02-09,2021-02-09,SFA,Signed as Free Agent,Seattle Mariners signed free agent RHP JT Chargois to a minor league contract and invited him to spring training.,608638.0,JT Chargois,/api/v1/people/608638,136,Seattle Mariners,/api/v1/teams/136,,,
470359,2021-02-18,2021-02-18,2021-02-18,SFA,Signed as Free Agent,Seattle Mariners signed free agent LHP James Paxton.,572020.0,James Paxton,/api/v1/people/572020,136,Seattle Mariners,/api/v1/teams/136,,,
470366,2021-02-18,2021-02-18,,SC,Status Change,Seattle Mariners placed RHP Andres Munoz on the 60-day injured list. Recovery from Tommy John surgery.,662253.0,Andrés Muñoz,/api/v1/people/662253,136,Seattle Mariners,/api/v1/teams/136,,,
