date,player,typeDesc,description
2025-09-01,Luke Jackson,Selected,Seattle Mariners selected the contract of RHP Luke Jackson from Tacoma Rainiers.
2025-09-12,Casey Legumina,Recalled,Seattle Mariners recalled RHP Casey Legumina from Tacoma Rainiers.
2025-09-28,Miles Mastrobuoni,Recalled,Seattle Mariners recalled 3B Miles Mastrobuoni from Tacoma Rainiers.
2025-09-29,Rhylan Thomas,Recalled,Seattle Mariners recalled LF Rhylan Thomas from Tacoma Rainiers.
2025-09-29,Tayler Saucedo,Recalled,Seattle Mariners recalled LHP Tayler Saucedo from Tacoma Rainiers.
2025-09-29,Domingo Gonzalez,Recalled,Seattle Mariners recalled RHP Domingo Gonzalez from Tacoma Rainiers.
2025-09-29,Samad Taylor,Recalled,Seattle Mariners recalled 2B Samad Taylor from Tacoma Rainiers.
2025-09-29,Troy Taylor,Recalled,Seattle Mariners recalled RHP Troy Taylor from Tacoma Rainiers.
2025-09-29,Jhonathan Díaz,Recalled,Seattle Mariners recalled LHP Jhonathan Díaz from Tacoma Rainiers.
2025-09-29,Blas Castaño,Recalled,Seattle Mariners recalled RHP Blas Castaño from Tacoma Rainiers.
2025-09-29,Ben Williamson,Recalled,Seattle Mariners recalled 3B Ben Williamson from Tacoma Rainiers.
2026-03-25,Mitch Garver,Selected,Seattle Mariners selected the contract of C Mitch Garver from Tacoma Rainiers.
2026-03-27,Cole Wilcox,Recalled,Seattle Mariners recalled RHP Cole Wilcox from Tacoma Rainiers.
2026-03-31,Colt Emerson,Selected,Seattle Mariners selected the contract of SS Colt Emerson from Tacoma Rainiers.
2026-04-08,Connor Joe,Selected,Seattle Mariners selected the contract of RF Connor Joe from Tacoma Rainiers.
2026-04-14,Patrick Wisdom,Selected,Seattle Mariners selected the contract of 1B Patrick Wisdom from Tacoma Rainiers.
2026-04-20,Will Wilson,Selected,Seattle Mariners selected the contract of 3B Will Wilson from Tacoma Rainiers.
2026-04-21,Alex Hoppe,Recalled,Seattle Mariners recalled RHP Alex Hoppe from Tacoma Rainiers.
2026-05-01,Josh Simpson,Recalled,Seattle Mariners recalled LHP Josh Simpson from Tacoma Rainiers.
2026-05-02,Jhonny Pereda,Recalled,Seattle Mariners recalled C Jhonny Pereda from Tacoma Rainiers.
2026-05-04,Josh Simpson,Recalled,Seattle Mariners recalled LHP Josh Simpson from Tacoma Rainiers.
2026-05-11,Domingo Gonzalez,Recalled,Seattle Mariners recalled RHP Domingo Gonzalez from Tacoma Rainiers.
2026-05-14,Jhonny Pereda,Recalled,Seattle Mariners recalled C Jhonny Pereda from Tacoma Rainiers.
2026-05-17,Colt Emerson,Recalled,Seattle Mariners recalled SS Colt Emerson from Tacoma Rainiers.
2026-05-18,Robinson Ortiz,Recalled,Seattle Mariners recalled LHP Robinson Ortiz from Tacoma Rainiers.
2026-05-18,Brennen Davis,Selected,Seattle Mariners selected the contract of CF Brennen Davis from Tacoma Rainiers.
2026-06-08,Ryan Bliss,Recalled,Seattle Mariners recalled 2B Ryan Bliss from Tacoma Rainiers.
2026-06-09,Nick Davila,Recalled,Seattle Mariners recalled RHP Nick Davila from Tacoma Rainiers.
2026-06-10,Domingo Gonzalez,Recalled,Seattle Mariners recalled RHP Domingo Gonzalez from Tacoma Rainiers.
2026-06-11,Michael Rucker,Selected,Seattle Mariners selected the contract of RHP Michael Rucker from Tacoma Rainiers.
2026-06-17,Connor Joe,Recalled,Seattle Mariners recalled RF Connor Joe from Tacoma Rainiers.
2026-06-19,Weston Wilson,Selected,Seattle Mariners selected the contract of 3B Weston Wilson from Tacoma Rainiers.
2026-06-27,Josh Simpson,Recalled,Seattle Mariners recalled LHP Josh Simpson from Tacoma Rainiers.
2026-06-30,Cole Wilcox,Recalled,Seattle Mariners recalled RHP Cole Wilcox from Tacoma Rainiers.
2026-07-03,Miles Mastrobuoni,Selected,Seattle Mariners selected the contract of 3B Miles Mastrobuoni from Tacoma Rainiers.
2026-07-26,Alex Hoppe,Recalled,Seattle Mariners recalled RHP Alex Hoppe from Tacoma Rainiers.
2026-07-31,Leo Rivas,Recalled,Seattle Mariners recalled 3B Leo Rivas from Tacoma Rainiers.
2026-08-01,Stuart Fairchild,Selected,Seattle Mariners selected the contract of CF Stuart Fairchild from Tacoma Rainiers.
2026-08-02,Josh Simpson,Recalled,Seattle Mariners recalled LHP Josh Simpson from Tacoma Rainiers.
2026-08-04,Jhonny Pereda,Recalled,Seattle Mariners recalled C Jhonny Pereda from Tacoma Rainiers.
2026-08-07,Nick Davila,Recalled,Seattle Mariners recalled RHP Nick Davila from Tacoma Rainiers.
2026-08-14,Brock Rodden,Selected,Seattle Mariners selected the contract of 2B Brock Rodden from Tacoma Rainiers.
2026-08-19,Jhonathan Díaz,Selected,Seattle Mariners selected the contract of LHP Jhonathan Díaz from Tacoma Rainiers.
2026-08-23,Patrick Wisdom,Recalled,Seattle Mariners recalled 3B Patrick Wisdom from Tacoma Rainiers.
2026-08-30,Nick Davila,Recalled,Seattle Mariners recalled RHP Nick Davila from Tacoma Rainiers.
2026-09-01,Lazaro Montes,Selected,Seattle Mariners selected the contract of RF Lazaro Montes from Tacoma Rainiers.
2026-09-03,Brennen Davis,Recalled,Seattle Mariners recalled CF Brennen Davis from Tacoma Rainiers.
2026-09-03,Stuart Fairchild,Selected,Seattle Mariners selected the contract of CF Stuart Fairchild from Tacoma Rainiers.
2026-09-04,Troy Taylor,Recalled,Seattle Mariners recalled RHP Troy Taylor from Tacoma Rainiers.
2026-09-06,Michael Arroyo,Selected,Seattle Mariners selected the contract of SS Michael Arroyo from Tacoma Rainiers.
